deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
101,2024-06-17 23:00:48,MASKUSDT,5m,short,2.22,2.708,2.652,2.73,2.07,0.82,2.65,2.708,2.14,0.0,2.651,2.1,win,2024-06-17 23:52:04,RSI:52;
102,2024-06-18 05:20:11,ARBUSDT,5m,long,2.08,0.7733,0.8019,0.7604,3.7,1.66,0.8022,0.7733,3.74,0.0,0.8018,3.69,win,2024-06-18 08:24:04,RSI:33;
103,2024-06-18 05:20:20,ADAUSDT,5m,long,2.5,0.3735,0.3953,0.3652,5.85,2.23,0.3955,0.366,5.89,2.01,0.3955,5.89,win,2024-06-19 08:27:03,RSI:35;
104,2024-06-18 05:20:38,AVAXUSDT,5m,long,2.38,26.15,27.487,25.617,5.11,2.04,26.79,25.61,2.45,2.07,25.63,-1.99,loss,2024-06-18 15:27:06,RSI:35;
105,2024-06-18 05:21:00,GALAUSDT,5m,long,2.31,0.02665,0.02867,0.0258,7.59,3.17,0.0296,0.0258,11.07,3.19,0.02863,7.43,win,2024-06-19 20:24:03,RSI:34;
106,2024-06-18 05:25:31,DOGEUSDT,5m,long,1.06,0.1197,0.1231,0.1168,2.8,2.48,0.1232,0.11975,2.92,0.0,0.1231,2.84,win,2024-06-18 10:27:05,RSI:39;
107,2024-06-18 05:25:45,MASKUSDT,5m,long,1.21,2.382,2.448,2.331,2.76,2.13,2.449,2.374,2.81,0.34,2.447,2.73,win,2024-06-18 07:46:18,RSI:35;
108,2024-06-18 05:25:47,ETCUSDT,5m,long,2.33,22.4,23.73,21.854,5.94,2.44,23.74,22.4,5.98,0.0,23.66,5.63,win,2024-06-19 04:21:15,RSI:37;
109,2024-06-18 05:25:51,NEARUSDT,5m,long,2.66,4.743,5.065,4.627,6.79,2.44,4.878,4.625,2.85,2.49,4.631,-2.36,loss,2024-06-18 15:26:26,RSI:37;
110,2024-06-18 05:25:57,ATOMUSDT,5m,long,1.51,6.504,6.715,6.373,3.24,2.02,6.639,6.367,2.08,2.11,6.374,-2.0,loss,2024-06-18 16:37:04,RSI:37;
111,2024-06-18 05:26:05,SUIUSDT,5m,long,4.58,0.8068,0.9014,0.7869,11.73,2.47,0.8372,0.7859,3.77,2.59,0.7876,-2.38,loss,2024-06-18 15:36:21,RSI:36;
112,2024-06-18 11:00:14,ARBUSDT,5m,short,1.36,0.7982,0.7873,0.8051,1.36,0.86,0.7868,0.7999,1.43,0.21,0.7868,1.43,win,2024-06-18 14:12:04,
113,2024-06-18 20:01:02,NEARUSDT,5m,long,1.08,4.57,4.669,4.486,2.16,1.85,4.614,4.473,0.96,2.12,4.484,-1.88,loss,2024-06-18 20:37:02,
114,2024-06-18 20:01:20,SUIUSDT,5m,long,1.16,0.7783,0.7938,0.7661,2.0,1.57,0.7858,0.7622,0.96,2.07,0.763,-1.97,loss,2024-06-18 21:03:26,RSI:48;
