deal_id,datetime,pair,timeframe,direction,profit_loss,entry_price,take_price,stop_price,take_dist_perc,stop_dist_perc,best_price,worst_price,best_price_perc,worst_price_perc,current_price,current_price_perc,status,finish_time,indicators
126,2023-06-23 14:45:14,ADAUSDT,5m,short,1.45,0.2926,0.2901,0.2939,0.85,0.45,0.29,0.2934,0.89,0.27,0.2901,0.85,win,2023-06-23 15:28:11,
127,2023-06-23 14:45:38,LUNAUSDT,5m,long,5.32,0.6462,0.7835,0.621,21.24,3.9,0.7183,0.6059,11.16,6.24,0.6137,-5.03,loss,2023-06-28 10:35:54,
128,2023-06-23 14:55:22,MAGICUSDT,5m,long,1.73,0.8177,0.8332,0.8098,1.9,0.97,0.8199,0.8069,0.27,1.32,0.8077,-1.22,loss,2023-06-23 15:39:22,
129,2023-06-23 15:05:15,DOTUSDT,5m,long,16.73,4.936,5.347,4.916,8.33,0.41,4.946,4.915,0.2,0.43,4.917,-0.38,loss,2023-06-23 15:23:16,
130,2023-06-23 15:20:20,SOLUSDT,5m,short,1.62,16.5,16.252,16.632,1.5,0.8,16.21,16.51,1.76,0.06,16.22,1.7,win,2023-06-23 16:50:52,
131,2023-06-23 15:25:16,DOTUSDT,5m,short,2.22,4.912,4.809,4.953,2.1,0.83,4.862,4.958,1.02,0.94,4.953,-0.83,loss,2023-06-23 17:29:14,
132,2023-06-23 15:25:17,APTUSDT,5m,short,1.51,7.365,7.304,7.396,0.83,0.42,7.292,7.3651,0.99,0.0,7.303,0.84,win,2023-06-23 15:39:12,
133,2023-06-23 15:25:27,MASKUSDT,5m,short,7.84,3.705,3.303,3.753,10.86,1.3,3.644,3.754,1.65,1.32,3.752,-1.27,loss,2023-06-23 17:52:22,
134,2023-06-23 15:30:18,DOTUSDT,5m,short,3.82,4.904,4.807,4.924,1.97,0.42,4.868,4.927,0.73,0.47,4.926,-0.45,loss,2023-06-23 16:11:15,
135,2023-06-23 15:30:40,EDUUSDT,5m,short,1.12,0.793,0.7811,0.8025,1.5,1.19,0.7781,0.798,1.88,0.63,0.7807,1.55,win,2023-06-23 16:49:17,
136,2023-06-23 15:40:32,ETCUSDT,5m,short,2.15,16.84,16.488,16.984,2.09,0.86,16.82,17.0,0.12,0.95,16.99,-0.89,loss,2023-06-23 16:21:15,
137,2023-06-23 15:40:39,SUIUSDT,5m,short,4.09,0.7866,0.7662,0.7908,2.59,0.53,0.7856,0.7938,0.13,0.92,0.7928,-0.79,loss,2023-06-23 15:48:20,
138,2023-06-23 15:40:43,PEPEUSDT,5m,short,1.16,1.49e-06,1.418e-06,1.55e-06,4.83,4.03,1.45e-06,1.56e-06,2.68,4.7,1.55e-06,-4.03,loss,2023-06-23 18:06:25,
139,2023-06-23 16:35:10,LUNCUSDT,5m,short,2.5,9.15e-05,8.731e-05,9.307e-05,4.58,1.72,9.071e-05,9.313e-05,0.86,1.78,9.295e-05,-1.58,loss,2023-06-23 18:08:22,
